Frame 0
x		y		z		State		PlayerIndex
230.729		121.718		2408		2		2
229.973		98.9899		2303		2		2
204.235		140.987		2434		2		2
198.518		178.602		2500		2		2
189.055		210.779		2481		2		2
190.5		223.855		2472		2		2
258.707		140.073		2441		2		2
270.584		176.85		2503		2		2
275.983		209.715		2508		2		2
276.717		221.625		2503		2		2
222.278		210.226		2405		2		2
219.845		263.156		2504		2		2
221.584		316.793		2618		2		2
219.498		332.879		2575		2		2
247.132		209.348		2419		2		2
250.605		263.801		2509		2		2
252.117		312.789		2560		2		2
252.073		327.363		2589		2		2
231.253		132.777		2407		2		2
192.217		235.644		2476		2		2
187		225.991		2473		2		2
276.885		232.779		2526		2		2
273.214		221.859		2525		2		2
